domain,ecotype,asn,country,http_status,publishers,file_formats,download_hosts,title_count,severity,active,latest_year,is_piracy
mreliptik.itch.io,unclassified,AS13335,US,OK,Activision; Rockstar; Sega,repack,,1,3,False,2023,True
mrexodia.github.io,unclassified,AS54113,US,OK,Nintendo; Ubisoft; Activision; Rockstar,repack; ISO; DDL,mega.nz,15,3,False,2024,True
mrpcgamer.co,unclassified,AS63949,US,OK,Activision,,,0,1,False,,False
mrpcgamer.com,unclassified,AS13335,US,OK,Nintendo; Capcom; Activision; Konami,repack; ROM; torrent,,1,5,True,2026,True
mrpcgamer.net,unclassified,AS13335,US,OK,Nintendo; Capcom; Activision,repack; ROM; torrent,,1,5,True,2026,True
mrporngeek.com,unclassified,AS13335,US,OK,Nintendo; Capcom; Sony; Activision; Sega; Konami; 2K Games,,,1,4,True,2026,True
ms-word-2020.download-windows.org,unclassified,AS210644,CH,OK,Sony,ISO; torrent,,1,3,True,2025,True
ms.wikipedia.org,unclassified,,,OK,Nintendo; Ubisoft; Activision; Sega; Konami; CD Projekt; Valve,,,0,4,True,2026,True
msreview.net,unclassified,AS50340,RU,EMPTY,,,,0,0,False,,False
msx-games-file-hunter-com.ar.aptoide.com,unclassified,,,OK,Nintendo; Square Enix; Capcom; Ubisoft; Activision; Rockstar; Sega; Konami,ROM,,8,4,True,2026,True
msx-games-file-hunter-com.bd.aptoide.com,unclassified,,,OK,Nintendo; Capcom; EA; Ubisoft; Activision; Rockstar; Sega; Konami,ISO; ROM,,8,4,True,2026,True
msx-games-file-hunter-com.bg.aptoide.com,unclassified,,,OK,Nintendo; Square Enix; Capcom; EA; Ubisoft; Activision; Rockstar; Sega; Konami,ISO; ROM,,8,4,True,2026,True
msx-games-file-hunter-com.br.aptoide.com,unclassified,,,OK,Nintendo; Square Enix; Capcom; EA; Ubisoft; Activision; Rockstar; Sega; Konami,ISO; ROM,,8,4,True,2026,True
msx-games-file-hunter-com.cn.aptoide.com,unclassified,,,OK,Nintendo; Capcom; EA; Ubisoft; Activision; Rockstar; Sega; Konami,ISO; ROM,,7,4,True,2026,True
msx-games-file-hunter-com.de.aptoide.com,unclassified,,,OK,Nintendo; Square Enix; Capcom; EA; Ubisoft; Activision; Rockstar; Sega; Konami,ISO; ROM,,8,4,True,2026,True
msx-games-file-hunter-com.en.aptoide.com,unclassified,,,OK,Nintendo; Capcom; EA; Ubisoft; Activision; Rockstar; Sega; Konami,ISO; ROM,,8,4,True,2026,True
msx-games-file-hunter-com.en.softonic.com,unclassified,,,EMPTY,,,,0,0,False,,False
msx-games-file-hunter-com.en.uptodown.com,unclassified,,,OK,Square Enix; Capcom; Sony; Activision; Rockstar; Bandai Namco; Konami,,,8,3,True,2025,False
msx-games-file-hunter-com.fr.aptoide.com,unclassified,,,OK,Nintendo; Square Enix; Capcom; EA; Ubisoft; Activision; Rockstar; Sega; Konami,ISO; ROM,,8,4,True,2026,True
msx-games-file-hunter-com.gr.aptoide.com,unclassified,,,OK,Nintendo; Capcom; EA; Ubisoft; Activision; Rockstar; Sega; Konami,ISO; ROM,,8,4,True,2026,True
msx-games-file-hunter-com.id.aptoide.com,unclassified,,,OK,Nintendo; Capcom; EA; Ubisoft; Activision; Rockstar; Sega; Konami,ISO; ROM; IPA,,8,4,True,2026,True
msx-games-file-hunter-com.in.aptoide.com,unclassified,,,OK,Nintendo; Capcom; EA; Ubisoft; Activision; Rockstar; Sega; Konami,ISO; ROM,,8,4,True,2026,True
